2025-11-14 13:53:13,598 | root | INFO | Логирование инициализировано
2025-11-14 13:53:13,745 | root | INFO | Логирование инициализировано
2025-11-14 13:53:13,746 | root | INFO | Логирование инициализировано
2025-11-14 13:53:14,321 | src.rag | INFO | Загружена существующая БД
2025-11-14 13:53:14,322 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 13:53:14,322 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 13:53:14,323 | root | INFO | Логирование инициализировано
2025-11-14 13:53:14,324 | __main__ | INFO | Бот запущен...
2025-11-14 13:57:15,439 | root | INFO | Логирование инициализировано
2025-11-14 13:57:15,585 | root | INFO | Логирование инициализировано
2025-11-14 13:57:15,586 | root | INFO | Логирование инициализировано
2025-11-14 13:57:16,200 | src.rag | INFO | Создана новая БД
2025-11-14 13:57:16,200 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 13:57:16,200 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 13:57:16,202 | root | INFO | Логирование инициализировано
2025-11-14 13:57:16,203 | __main__ | INFO | Бот запущен...
2025-11-14 14:00:02,998 | root | INFO | Логирование инициализировано
2025-11-14 14:00:03,145 | root | INFO | Логирование инициализировано
2025-11-14 14:00:03,146 | root | INFO | Логирование инициализировано
2025-11-14 14:00:03,723 | src.rag | INFO | Загружена существующая БД
2025-11-14 14:00:03,723 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:00:03,723 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:00:03,724 | src.bot | INFO | Найдено 3 CSV-файлов в data/. Загружаю в RAG...
2025-11-14 14:00:03,819 | src.bot | ERROR | Ошибка при загрузке /home/medj/projects/hackatons/alpha_hackaton/src/../data/sample_submission.csv: Error raised by inference API HTTP code: 404, {"error":"model \"nomic-embed-text\" not found, try pulling it first"}
2025-11-14 14:00:03,985 | src.bot | ERROR | Ошибка при загрузке /home/medj/projects/hackatons/alpha_hackaton/src/../data/questions_clean.csv: Error raised by inference API HTTP code: 404, {"error":"model \"nomic-embed-text\" not found, try pulling it first"}
2025-11-14 14:00:04,121 | src.bot | ERROR | Ошибка при загрузке /home/medj/projects/hackatons/alpha_hackaton/src/../data/websites.csv: Error loading /home/medj/projects/hackatons/alpha_hackaton/src/../data/websites.csv
2025-11-14 14:00:04,122 | root | INFO | Логирование инициализировано
2025-11-14 14:00:04,123 | __main__ | INFO | Бот запущен...
2025-11-14 14:03:17,418 | root | INFO | Логирование инициализировано
2025-11-14 14:03:17,562 | root | INFO | Логирование инициализировано
2025-11-14 14:03:17,563 | root | INFO | Логирование инициализировано
2025-11-14 14:03:18,182 | src.rag | INFO | Создана новая БД
2025-11-14 14:03:18,183 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:03:18,183 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:03:18,183 | src.bot | INFO | Найдено 3 CSV-файлов в data/. Загружаю в RAG...
2025-11-14 14:07:15,804 | src.bot | ERROR | Ошибка при загрузке /home/medj/projects/hackatons/alpha_hackaton/src/../data/sample_submission.csv: ValueError: Batch size of 6977 is greater than max batch size of 5461
2025-11-14 14:08:53,097 | root | INFO | Логирование инициализировано
2025-11-14 14:08:53,241 | root | INFO | Логирование инициализировано
2025-11-14 14:08:53,242 | root | INFO | Логирование инициализировано
2025-11-14 14:08:53,861 | src.rag | INFO | Создана новая БД
2025-11-14 14:08:53,861 | src.rag | INFO | RAG инициализирован: /home/medj/projects/hackatons/alpha_hackaton/src/../chroma_db
2025-11-14 14:08:53,861 | src.llm | INFO | LLM модель: qwen3:30b
2025-11-14 14:08:53,862 | src.bot | INFO | Найдено 3 CSV-файлов в data/. Загружаю в RAG...
